Title,Description,Credits,Prerequisites
MATH 96 — PREPARATORY ALGEBRA,"Covers the necessary mathematical tools needed to succeed in our algebra course and provides fundamental mathematical skills. Topics include real numbers, linear equations and inequalities, integral and fractional exponents, polynomials and their arithmetic, polynomial equations and equations with fractional exponents, the quadratic formula and completing the square, systems of two linear equations, graphing, and problem solving using algebra and graphs. All students must pass an assessment on basic mathematical skills to complete the course. The course does not count for degree credit.",3 credits.,MATH 96
MATH 112 — ALGEBRA,"Properties of elementary functions, such as polynomial, absolute value, radical, rational, exponential, and logarithmic functions. Topics include equations, inequalities, functions, and their graphs. Students will formulate, analyze, solve, and interpret mathematical and real-world problems. Intended to provide the algebra skills required for calculus.",3 credits.,"MATH 96, MATH 112, MATH 118"
MATH 113 — TRIGONOMETRY,"Covers the graphs, properties and geometric significance of trigonometric functions of a real variable. Other topics include trigonometric equations and identities, application, trigonometric form of complex numbers, DeMoivre's theorem, and polar and parametric equations. The course also has a significant number of applications, especially related to other disciplines.",3 credits.,"MATH 112, MATH 113"
MATH 114 — ALGEBRA AND TRIGONOMETRY,"The two semester sequence MATH 112-MATH 113 covers similar material as MATH 114, but in a slower pace. Not recommended for students with less than an AB in MATH 96.",5 credits.,"MATH 96, MATH 114, MATH 118"
MATH 118 — SUMMER COLLEGIATE EXPERIENCE MATHEMATICS COURSE,A preparation and introductory math course for students enrolled in the Summer Collegiate Experience program. Includes material from precalculus and calculus and related topics depending on students' results on the math placement exam.,2 credits.,None
MATH 141 — QUANTITATIVE REASONING AND PROBLEM SOLVING,"Develops a habit of mind, competency, and comfort in working with numerical data. Learn to reason and solve quantitative problems from a wide array of authentic contexts and everyday life situations, develop the ability to reason mathematically, and make and evaluate logical arguments supported by quantitative evidence. This course is for students who need to satisfy part A of the Quantitative Reasoning requirement and prepare for QR-B courses, but do not want to continue in the calculus sequence.",3 credits.,"MATH 96, MATH 141, MATH 118"
MATH 171 — CALCULUS WITH ALGEBRA AND TRIGONOMETRY I,"Topics in algebra, trigonometry and precalculus are integrated with elementary differential calculus. Part of a 2-semester sequence with MATH 217; these two courses together are equivalent to MATH 114 and 221.",5 credits.,"MATH 96, MATH 171, MATH 118"
MATH 198 — DIRECTED STUDY,Directed study projects as arranged with a faculty member.,1-3 credits.,None
MATH 207 — TOPICS IN MATHEMATICS STUDY ABROAD,Credit is awarded to students who have completed an appropriate math course abroad at the intermediate level having no direct equivalence within the math department offerings. The study abroad course must be pre-approved by the math department.,1-5 credits.,None
MATH 211 — SURVEY OF CALCULUS 1,"Essential concepts of differential and integral calculus; exponential and logarithmic functions; functions of several variables. Primarily for students in prebusiness and some social sciences. Students preparing for advanced study in mathematics, physics, engineering and other sciences (including most biological sciences) should take MATH 221.",4 credits.,"MATH 112, MATH 211 or MATH 221"
MATH 213 — SURVEY OF CALCULUS 2,"First order differential equations, introduction to multivariable calculus and constrained optimization, infinite sequences and series, methods of approximation, and a brief introduction to probability. Models and applications from business and the social sciences.",3 credits.,"MATH 211 or MATH 221"
MATH 217 — CALCULUS WITH ALGEBRA AND TRIGONOMETRY II,"Continuation of MATH 171. Topics in algebra, trigonometry and precalculus are integrated with elementary differential calculus. Completion of MATH 217 implies completion of MATH 221 and 114.",5 credits.,MATH 171
MATH 221 — CALCULUS AND ANALYTIC GEOMETRY 1,Introduction to differential and integral calculus and plane analytic geometry; applications; transcendental functions.,5 credits.,"MATH 114 or MATH 112 and MATH 113, MATH 221, MATH 211, MATH 213"
MATH 222 — CALCULUS AND ANALYTIC GEOMETRY 2,"Techniques of integration, improper integrals, first order ordinary differential equations, sequences and series, Taylor series, vector geometry in two and three dimensions.",4 credits.,"MATH 217 or MATH 221, MATH 211 or MATH 213"
MATH 228 — WES CALCULUS SUPPLEMENT,"Topics in algebra, trigonometry, differential, integral and multi-variable calculus and analytic geometry will be covered depending on which calculus course MATH 228 is attached to. MATH 228 must be taken in conjunction with the appropriate WES section of MATH 171, 217, 221, 222, or 234.",2 credits.,None
MATH 234 — CALCULUS--FUNCTIONS OF SEVERAL VARIABLES,"Introduction to calculus of functions of several variables; calculus on parameterized curves, derivatives of functions of several variables, multiple integrals, vector calculus.",4 credits.,MATH 222
MATH/COMP SCI  240 — INTRODUCTION TO DISCRETE MATHEMATICS,"Basic concepts of logic, sets, partial order and other relations, and functions. Basic concepts of mathematics (definitions, proofs, sets, functions, and relations) with a focus on discrete structures: integers, bits, strings, trees, and graphs.  Propositional logic, Boolean algebra, and predicate logic. Mathematical induction and recursion. Invariants and algorithmic correctness. Recurrences and asymptotic growth analysis. Fundamentals of counting.",3 credits.,"MATH 217 or MATH 221"
MATH 298 — DIRECTED STUDY IN MATHEMATICS,Directed study projects as arranged with a faculty member.,1-3 credits.,None
MATH/STAT  309 — INTRODUCTION TO PROBABILITY AND MATHEMATICAL STATISTICS I,"Probability and combinatorial methods, discrete and continuous, univariate and multivariate distributions, expected values, moments, normal distribution and derived distributions, estimation.",3 credits.,"MATH 234, STAT 311"
